,Title,Artist,id,artist_genres,is_single,total_tracks,release_date,day_of_week,release_season,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
300,Ad Hamidbar,DJ Only,7jdvibTKMCbIP2B77ayD8Q,['israeli pop'],1,1,2016-02-14,7,4,2016,0,0.462,0.657,204696,0.876,0.0,0,0.0787,-3.976,0,0.0755,104.971,4,0.561
301,Act III: The Reason,Dennis Lloyd,3HIIJAt82X8huRUu5eC7lh,['israeli pop'],1,3,2016-06-17,5,2,2016,0,0.188,0.774,194535,0.782,0.0,10,0.0903,-1.434,0,0.0492,95.043,4,0.58
302,Silsulim,Static & Ben El,1g0IBPZTRP7VYkctJ4Qafg,"['israeli pop', 'jewish pop']",1,1,2016-06-14,2,2,2016,0,0.054,0.758,220464,0.869,0.0,6,0.0954,-2.947,0,0.0347,95.011,4,0.371
303,Way Down We Go,KALEO,0y1QJc3SJVPKJ1OvFmFqe6,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",0,10,2016-06-10,5,2,2016,0,0.579,0.489,213707,0.505,0.000333,10,0.104,-8.022,0,0.117,163.255,4,0.337
304,Lost on You,LP,4oIRvB5YFuh4N7xFK5AEPh,['la pop'],0,10,2016-12-09,5,4,2016,0,0.1,0.433,268105,0.724,0.0,5,0.0918,-6.126,0,0.0372,174.006,4,0.689
305,hate u love u,Olivia O'Brien,6ATgDc6e4sPn84hvJsAmPt,"['dance pop', 'pop', 'post-teen pop']",1,1,2016-12-09,5,4,2016,0,0.661,0.407,175467,0.416,0.0,6,0.0981,-8.916,0,0.175,179.947,4,0.244
306,In the Name of Love,Martin Garrix,23L5CiUhw2jV1OIMwthR3S,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",1,1,2016-07-29,5,2,2016,0,0.109,0.501,195707,0.519,0.0,4,0.454,-5.88,0,0.0409,133.99,4,0.168
307,Dark Necessities,Red Hot Chili Peppers,2oaK4JLVnmRGIO9ytBE1bt,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",0,13,2016-06-17,5,2,2016,0,0.0722,0.7,302000,0.742,0.0199,5,0.11,-6.777,0,0.0716,91.959,4,0.197
308,Think About It,Dennis Lloyd,4Yubb5GQW1aT9Zcb5ykOkh,['israeli pop'],1,1,2016-11-16,3,3,2016,0,0.564,0.478,191688,0.509,0.00181,4,0.228,-9.252,1,0.2,143.7,4,0.0599
309,Six Feet Under,Billie Eilish,2VlLbhGLVJgdOW7kKdWWFc,"['electropop', 'pop']",1,1,2016-11-17,4,3,2016,0,0.807,0.576,189613,0.307,0.000355,11,0.0792,-12.732,0,0.0428,67.513,4,0.157
310,Million Reasons,Lady Gaga,7dZ1Odmx9jWIweQSatnRqo,"['dance pop', 'pop', 'post-teen pop']",0,14,2016-10-21,5,3,2016,0,0.494,0.666,205280,0.423,0.0,0,0.106,-8.012,1,0.043,129.89,4,0.154
311,I Follow Rivers,Roni Alter,4a2MIdV2CBdA9mUOgi0RWR,[],1,1,2016-01-13,3,4,2016,0,0.728,0.576,206354,0.235,0.101,4,0.0993,-14.41,0,0.0271,92.893,4,0.277
312,The Greatest (feat. Kendrick Lamar),Sia,7xHWNBFm6ObGEQPaUxHuKO,"['australian dance', 'australian pop', 'dance pop', 'pop']",0,19,2016-10-21,5,3,2016,0,0.0102,0.668,210227,0.725,0.000479,1,0.0561,-6.127,1,0.266,191.944,4,0.729
313,Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr,"['pop', 'post-teen pop', 'viral pop']",0,12,2016-01-01,5,4,2016,0,0.0549,0.564,204013,0.714,0.0,7,0.155,-4.987,1,0.129,175.924,4,0.33
314,Nevermind,Dennis Lloyd,3PHjgrovCBjQQl5Np5YQBy,['israeli pop'],1,1,2016-09-18,7,3,2016,0,0.333,0.421,150471,0.472,0.0,10,0.117,-7.414,0,0.102,85.054,4,0.528
315,Analyzing,Dennis Lloyd,1m4Q4BxRmuRHOCVsesAHTH,['israeli pop'],1,1,2016-12-11,7,4,2016,0,0.026,0.6,181448,0.616,0.0,7,0.11,-3.046,0,0.0365,86.942,4,0.14
316,"How Far I'll Go - From ""Moana""",Alessia Cara,5EbX5xL3O2xT8FxCpYzgUO,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",1,1,2016-10-28,5,3,2016,0,0.155,0.309,175517,0.544,0.000265,9,0.0727,-9.621,1,0.352,180.979,4,0.16
317,Act II: Can't Go Back,Dennis Lloyd,1NKbgxvn11sZCsUh64nDmh,['israeli pop'],1,3,2016-06-17,5,2,2016,0,0.287,0.787,184817,0.619,0.0,8,0.124,-3.67,1,0.103,124.64,4,0.676
318,Stam,Static & Ben El,1UxPPRzZOUhZPTslSjzagr,"['israeli pop', 'jewish pop']",1,1,2016-09-25,7,3,2016,0,0.436,0.807,167688,0.793,1.55e-05,6,0.265,-4.621,1,0.0483,99.968,4,0.81
319,Act I: We Both Go Down,Dennis Lloyd,3CRnA1WqtVl4TdS2zv0etr,['israeli pop'],1,3,2016-06-17,5,2,2016,0,0.535,0.643,175518,0.657,0.0,7,0.0846,-2.167,0,0.048,93.961,4,0.377
320,Ish Shel Layla,Roni Dalumi,7HoHkBv5O9Kx1PL0BFKFdu,['israeli pop'],0,8,2016-03-09,3,1,2016,0,0.587,0.538,191360,0.675,0.0,8,0.124,-4.995,0,0.0322,154.129,4,0.566
321,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0vbtURX4qv1l7besfwmnD8,"['dance pop', 'pop', 'pop rap']",0,18,2016-05-06,5,1,2016,0,0.0353,0.663,197933,0.713,7.68e-06,7,0.0843,-6.647,0,0.112,101.965,4,0.69
322,Dang! (feat. Anderson .Paak),Mac Miller,5iUQMwxUPdJBFeGkePtM66,"['hip hop', 'pittsburgh rap', 'rap']",0,10,2016-09-16,5,3,2016,0,0.00826,0.836,305350,0.67,0.000355,5,0.0837,-6.907,0,0.23,107.018,4,0.556
323,Alone,Marshmello,3MEYFivt6bilQ9q9mFWZ4g,"['brostep', 'pop', 'progressive electro house']",1,1,2016-05-13,5,1,2016,0,0.0241,0.631,273803,0.953,0.0155,2,0.108,-3.739,1,0.0343,141.99,4,0.422
324,Formation,Beyoncé,6g0Orsxv6glTJCt4cHsRsQ,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0,13,2016-04-23,6,1,2016,0,0.00532,0.896,206080,0.621,0.0,5,0.196,-6.857,0,0.237,121.966,4,0.818
325,Go Fuck Yourself,Two Feet,4NZrZgrRoR4GwR7flWOXRI,"['indie poptimism', 'modern rock']",1,4,2016-07-29,5,2,2016,0,0.571,0.765,129600,0.327,0.0479,6,0.0787,-8.029,1,0.277,74.931,4,0.292
326,Unstoppable,Sia,2J2Z1SkXYghSajLibnQHOa,"['australian dance', 'australian pop', 'dance pop', 'pop']",0,12,2016-01-29,5,4,2016,0,0.112,0.468,217747,0.779,0.000373,9,0.101,-4.839,1,0.0779,173.799,4,0.26
327,Can I Be Him,James Arthur,5ZMCXFJe9EyL9TM6PrA56U,"['pop', 'post-teen pop', 'talent show', 'uk pop']",0,18,2016-10-28,5,3,2016,0,0.308,0.696,246880,0.543,0.0,11,0.0939,-6.164,1,0.0489,107.969,4,0.479
328,Come Down,Anderson .Paak,276zciJ7Fg7Jk6Ta6QuLkp,['escape room'],0,16,2016-01-15,5,4,2016,0,0.271,0.841,169727,0.898,0.0151,8,0.304,-7.135,1,0.104,98.401,4,0.931
329,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,63CHa6rmamv9OsehkRD8oz,"['mellow gold', 'soft rock']",0,45,2016-10-14,5,3,2016,0,0.198,0.58,206360,0.498,0.0,1,0.132,-6.901,1,0.0277,116.271,4,0.111
330,Ophelia,The Lumineers,5NORWMFC27ywGSZxi8uquP,"['folk-pop', 'modern rock', 'stomp and holler']",0,11,2016-04-08,5,1,2016,0,0.613,0.664,160097,0.573,0.000363,5,0.0857,-6.519,1,0.0277,76.023,4,0.566
331,How Far I'll Go,Auli'i Cravalho,6mb6lVLNrcUgLnEN8QnDJd,"['disney', 'hollywood', 'movie tunes', 'show tunes']",0,59,2016-11-18,5,3,2016,0,0.649,0.571,163387,0.307,0.0,1,0.178,-10.958,0,0.0499,83.72,4,0.108
332,Alive,Sia,4E3afPSY5fUEelQS9ppL0e,"['australian dance', 'australian pop', 'dance pop', 'pop']",0,12,2016-01-29,5,4,2016,0,0.254,0.508,263520,0.762,0.000122,6,0.108,-4.217,0,0.0489,99.963,4,0.444
333,Demons,Dennis Lloyd,7AmXI4suuSX87eUXybDHM9,['israeli pop'],1,1,2016-03-01,2,1,2016,0,0.571,0.57,177294,0.372,7.21e-06,7,0.0797,-9.593,0,0.121,125.545,4,0.217
334,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,5uDASfU19gDxSjW8cnCaBp,['san diego rap'],1,1,2016-06-17,5,2,2016,0,0.0312,0.886,177184,0.427,0.00099,6,0.0906,-10.028,1,0.145,108.034,4,0.23
335,My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",1,1,2016-09-16,5,3,2016,0,0.0935,0.819,219160,0.913,3.72e-05,4,0.161,-3.059,0,0.0427,119.989,4,0.536
336,You're Welcome,Dwayne Johnson,6U4VqEHy4n5VeiH4pQPL24,[],0,59,2016-11-18,5,3,2016,0,0.29,0.788,163893,0.745,0.0,5,0.0373,-7.072,1,0.258,135.278,4,0.672
337,Hold Up,Beyoncé,0rzNMzZsubFcXSEh7dnem7,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0,13,2016-04-23,6,1,2016,0,0.745,0.524,221093,0.397,0.0,0,0.521,-11.936,1,0.405,80.744,4,0.552
338,Pink + White,Frank Ocean,3xKsf9qdS1CyvXSMEid6g8,"['alternative r&b', 'lgbtq+ hip hop', 'neo soul', 'pop']",0,17,2016-08-20,6,2,2016,0,0.67,0.544,184516,0.552,4.57e-05,9,0.415,-7.45,1,0.0991,159.738,3,0.554
339,Nights,Frank Ocean,7eqoqGkKwgOaWNNHx90uEZ,"['alternative r&b', 'lgbtq+ hip hop', 'neo soul', 'pop']",0,17,2016-08-20,6,2,2016,0,0.42,0.466,307151,0.548,1.01e-06,5,0.113,-9.362,0,0.118,89.815,4,0.423
340,Cold Little Heart,Michael Kiwanuka,0qprlw0jfsW4H9cG0FFE0Z,"['british soul', 'neo soul', 'soul']",0,10,2016-07-15,5,2,2016,0,0.487,0.489,597600,0.404,0.0485,8,0.14,-7.815,1,0.0261,108.01,4,0.153
341,Broken,Lund,2BmCen4Ww7ps0EBbobxWsH,"['emo rap', 'modern rock', 'pop rap']",1,1,2016-10-25,2,3,2016,0,0.0423,0.828,200627,0.581,0.000903,0,0.109,-2.659,1,0.0429,133.999,4,0.145
342,Stole the Show,Kygo,5masKPHeAOVNgxdLebIcK7,"['edm', 'pop', 'tropical house']",0,15,2016-05-13,5,1,2016,0,0.271,0.64,223187,0.635,0.0,8,0.319,-7.565,0,0.226,100.034,4,0.475
343,Go Flex,Post Malone,5yuShbu70mtHXY0yLzCQLQ,"['dfw rap', 'melodic rap', 'rap']",0,18,2016-12-09,5,4,2016,0,0.228,0.665,179613,0.498,0.0,5,0.0757,-8.185,1,0.0831,81.967,4,0.127
344,Good as Hell,Lizzo,3Yh9lZcWyKrK9GjbhuS0hR,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",1,2,2016-03-09,3,1,2016,0,0.256,0.682,159736,0.919,0.0,0,0.442,-3.18,0,0.0875,95.982,4,0.535
345,Firestone (feat. Conrad Sewell),Kygo,1I8tHoNBFTuoJAlh4hfVVE,"['edm', 'pop', 'tropical house']",0,15,2016-05-13,5,1,2016,0,0.408,0.486,273684,0.652,6.63e-05,11,0.077,-7.226,0,0.052,113.055,4,0.391
346,Fuck It up (feat. Yg),Kamaiyah,4rr19p6NPfg8oUazZQnkS8,"['cali rap', 'west coast trap']",0,16,2016-03-23,3,1,2016,0,0.432,0.634,141845,0.669,0.0,0,0.552,-7.369,1,0.0682,98.044,4,0.431
347,Ain't Your Mama,Jennifer Lopez,2hgzdQdnfWwtdpZbhZlV72,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",1,1,2016-04-07,4,1,2016,0,0.0472,0.757,218235,0.678,9.14e-06,8,0.0654,-5.529,0,0.233,120.075,4,0.82
348,Spirits,The Strumbellas,7GJ572zvnU94VZVrj5XRtb,"['canadian folk', 'canadian indie', 'folk-pop', 'pop rock', 'stomp and holler']",0,11,2016-04-22,5,1,2016,0,0.163,0.556,203653,0.658,0.0,0,0.113,-6.075,1,0.0265,80.529,4,0.787
349,beibs in the trap,Travis Scott,0ESJlaM8CE1jRWaNtwSNj8,['rap'],0,14,2016-09-16,5,3,2016,0,0.24,0.743,213863,0.571,0.0,7,0.291,-6.054,0,0.145,119.054,4,0.495
350,Money Longer,Lil Uzi Vert,0B8QzDH7YWih85V5SEMnyJ,"['melodic rap', 'philly rap', 'rap']",0,9,2016-05-27,5,1,2016,0,0.0541,0.795,198944,0.568,0.0,5,0.108,-7.817,0,0.142,136.173,4,0.478
351,"Psycho, Pt. 2",Russ,26OhjtaTamFocE08t83ml6,"['hawaiian hip hop', 'pop', 'pop rap', 'rap']",1,1,2016-11-08,2,3,2016,0,0.775,0.766,161985,0.548,5.57e-06,10,0.1,-4.29,1,0.235,82.944,4,0.424
352,My Favorite Part,Mac Miller,66wkCYWlXzSTQAfnsPBptt,"['hip hop', 'pittsburgh rap', 'rap']",0,10,2016-09-16,5,3,2016,0,0.627,0.861,216000,0.33,1.93e-06,6,0.14,-7.194,1,0.0526,95.016,4,0.718
353,Люби меня,MiyaGi & Endspiel,0r5Nq9NExhHRcApKfFUBzk,"['estonian hip hop', 'russian hip hop', 'russian trap', 'uzbek pop']",0,7,2016-09-30,5,3,2016,0,0.436,0.628,318353,0.621,0.0,2,0.119,-6.033,0,0.205,145.974,4,0.63
354,Superhero,Unknown Brain,7EYv3adMrIC5mqurz7fHhD,"['bass trap', 'gaming edm', 'traprun']",1,1,2016-11-26,6,3,2016,0,0.028,0.669,179225,0.937,1.79e-05,8,0.318,-4.054,0,0.0714,75.013,4,0.223
355,sex,EDEN,26ZX2JrAb8AFbr8FFfAsO7,"['indie poptimism', 'modern rock', 'pop']",0,7,2016-08-19,5,2,2016,0,0.162,0.413,218808,0.521,0.0,9,0.323,-4.469,1,0.0466,103.391,4,0.532
356,Neighbors,J. Cole,0utlOiJy2weVl9WTkcEWHy,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",0,10,2016-12-09,5,4,2016,0,0.319,0.898,216520,0.283,0.000383,6,0.11,-12.335,0,0.356,138.97,4,0.469
357,Versace on the Floor,Bruno Mars,0kN8xEmgMW9mh7UmDYHlJP,"['dance pop', 'pop', 'post-teen pop']",0,9,2016-11-17,4,3,2016,0,0.196,0.578,261240,0.574,0.0,2,0.083,-6.209,1,0.0454,174.152,4,0.301
358,XO,EDEN,0ZAiqymvbQUZAh9y6ZT3Rm,"['indie poptimism', 'modern rock', 'pop']",0,7,2016-08-19,5,2,2016,0,0.625,0.611,159512,0.39,0.0,2,0.118,-5.861,0,0.116,163.897,4,0.617
359,DUELE EL CORAZON,Enrique Iglesias,6YZdkObH88npeKrrkb8Ggf,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",1,1,2016-04-18,1,1,2016,0,0.0786,0.724,200813,0.904,0.0,8,0.226,-3.354,0,0.0966,90.999,4,0.846
360,Love & Hate,Michael Kiwanuka,7oOEFDLSQscl0uGulnIEmG,"['british soul', 'neo soul', 'soul']",0,10,2016-07-15,5,2,2016,0,0.157,0.278,427093,0.494,0.000407,7,0.173,-7.853,0,0.029,169.661,4,0.527
361,Ivy,Frank Ocean,2ZWlPOoWh0626oTaHrnl2a,"['alternative r&b', 'lgbtq+ hip hop', 'neo soul', 'pop']",0,17,2016-08-20,6,2,2016,0,0.782,0.567,249191,0.388,0.000309,9,0.248,-9.579,0,0.0384,116.362,4,0.452
362,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,1A8j067qyiNwQnZT0bzUpZ,"['deep tropical house', 'edm', 'new french touch', 'tropical house']",0,12,2016-11-04,5,3,2016,0,0.0927,0.792,195547,0.717,3.59e-05,0,0.226,-4.759,0,0.0393,121.985,4,0.466
363,Min Zaman,Bint El Funk,1KK5dcqKKo7e55S8mc2wUe,[],0,8,2016-03-28,1,1,2016,0,0.381,0.677,260784,0.444,0.00241,1,0.0713,-10.709,1,0.0732,79.702,4,0.41
364,Are You With Me,Lost Frequencies,4255amV4enzl28KAn16rUO,"['belgian edm', 'edm', 'pop', 'tropical house']",0,16,2016-10-21,5,3,2016,0,0.262,0.763,138013,0.608,2.5e-05,5,0.12,-8.1,0,0.035,121.02,4,0.393
365,Die For You,The Weeknd,2Ch7LmS7r2Gy2kc64wv3Bz,"['canadian contemporary r&b', 'canadian pop', 'pop']",0,18,2016-11-25,5,3,2016,0,0.111,0.586,260253,0.525,0.0,1,0.134,-7.163,0,0.0615,133.629,4,0.508
366,Reality,Lost Frequencies,1Mys1gf9SkMBAVGGxpkJ7d,"['belgian edm', 'edm', 'pop', 'tropical house']",0,16,2016-10-21,5,3,2016,0,0.0197,0.714,159480,0.697,2e-06,1,0.0697,-7.887,0,0.032,122.145,4,0.602
367,X (feat. Future),21 Savage,6fwdbPMwP1zVStm8FybmkO,"['atl hip hop', 'rap', 'trap']",0,9,2016-07-15,5,2,2016,0,0.373,0.835,258880,0.413,0.00133,1,0.101,-9.81,1,0.396,149.004,4,0.111
368,Photosynthesis,Saba,3DlgDXIYtnWtJKiB8bZQMv,"['alternative r&b', 'chicago rap', 'hip hop', 'rap', 'underground hip hop']",0,13,2016-10-27,4,3,2016,0,0.536,0.777,201733,0.662,4.61e-06,7,0.593,-8.393,1,0.27,111.13,4,0.634
369,Sleep On The Floor,The Lumineers,44uOreAESeRIBaxkuCW4wN,"['folk-pop', 'modern rock', 'stomp and holler']",0,11,2016-04-08,5,1,2016,0,0.249,0.389,211851,0.431,0.0,7,0.13,-8.061,1,0.0344,142.14,4,0.275
370,I Can't Go On Without You,KALEO,1dX6oGAG5PaexuPj29PsYd,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",0,10,2016-06-10,5,2,2016,0,0.655,0.368,377000,0.267,2.24e-05,8,0.0834,-9.395,0,0.0428,91.88,4,0.194
371,Reminder,The Weeknd,37F0uwRSrdzkBiuj0D5UHI,"['canadian contemporary r&b', 'canadian pop', 'pop']",0,18,2016-11-25,5,3,2016,0,0.142,0.705,218880,0.505,0.0,8,0.164,-6.923,1,0.192,160.043,4,0.391
372,Love Myself,Hailee Steinfeld,36phXHOKx8rO7CMp2vNX4x,"['dance pop', 'pop', 'post-teen pop']",1,5,2016-02-26,5,4,2016,0,0.0026,0.617,218773,0.759,0.0,0,0.419,-6.785,0,0.0677,122.925,4,0.324
373,Emperor's New Clothes,Panic! At The Disco,3px2rAPu74ltbkf9eZsZ8h,"['baroque pop', 'emo', 'modern rock']",0,11,2016-01-15,5,4,2016,0,0.00302,0.562,158667,0.904,0.0,1,0.0433,-4.947,1,0.0807,94.481,4,0.651
374,PRBLMS,6LACK,4AtZRwSR8BOTTQg5ihSggt,"['alternative r&b', 'atl hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']",0,14,2016-11-18,5,3,2016,0,0.0307,0.417,246773,0.58,1.45e-06,9,0.179,-4.574,1,0.207,68.58,5,0.139
375,Makeba,Jain,5JdLUE9D743ob2RtgmVpVx,['french indie pop'],0,10,2016-10-21,5,3,2016,0,0.388,0.824,249533,0.656,0.506,2,0.253,-9.432,1,0.0704,116.068,4,0.418
376,Vente Pa' Ca,Ricky Martin,7DM4BPaS7uofFul3ywMe46,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop', 'tropical']",1,1,2016-09-23,5,3,2016,0,0.00431,0.663,259196,0.92,1.69e-05,11,0.101,-4.07,0,0.226,99.935,4,0.533
377,Father Stretch My Hands Pt. 1,Kanye West,4KW1lqgSr8TKrvBII0Brf8,"['chicago rap', 'rap']",0,20,2016-06-10,5,2,2016,0,0.118,0.724,135920,0.573,0.0,7,0.538,-4.113,1,0.0549,113.088,4,0.438
378,Atlantis,Seafret,1Fid2jjqsHViMX6xNH70hE,"['folk-pop', 'indie anthem-folk', 'modern rock', 'pop rock']",0,16,2016-01-29,5,4,2016,0,0.0529,0.4,229173,0.479,2.14e-06,8,0.115,-7.989,0,0.0308,166.159,4,0.213
379,Islands in the Stream,Dolly Parton,6apPqjW8ezpKEicAkkBlvO,"['classic country pop', 'country', 'country dawn']",0,22,2016-08-19,5,2,2016,0,0.68,0.611,250053,0.524,0.0,8,0.0753,-8.256,1,0.035,203.787,4,0.73
380,7 Years (Remix),Sik World,1kFlDnWmBTvCBxxeGDpIdp,"['pop rap', 'rap']",1,1,2016-06-04,6,2,2016,0,0.227,0.811,134197,0.609,0.0,10,0.102,-8.376,1,0.0996,120.071,4,0.439
381,Solo Dance,Martin Jensen,10AsRVRdU07cMAFHeGYO3c,"['big room', 'dance pop', 'danish electronic', 'edm', 'electro house', 'pop', 'pop edm', 'tropical house']",1,1,2016-11-04,5,3,2016,0,0.0485,0.746,174933,0.846,0.0,9,0.195,-2.432,1,0.048,114.955,4,0.403
382,You Don't Own Me,SAYGRACE,6KI1ZpZWYAJLvmVhCJz65G,"['pop', 'r&b']",0,14,2016-07-01,5,2,2016,0,0.159,0.332,201493,0.635,2.79e-06,7,0.0599,-5.653,1,0.0898,186.249,3,0.261
383,Time After Time,Iron & Wine,5kOBEsqVNwi4udPRbagNIV,"['acoustic pop', 'chamber pop', 'indie folk', 'indie pop', 'neo mellow', 'stomp and holler']",1,1,2016-10-28,5,3,2016,0,0.814,0.628,170217,0.248,0.0602,1,0.111,-13.304,1,0.032,125.298,4,0.646
384,Mama Said,Lukas Graham,5ArQzSBevAdXTxRY6Ulhbq,"['danish pop', 'pop', 'scandipop']",0,11,2016-04-01,5,1,2016,0,0.0447,0.712,206903,0.799,6.4e-05,7,0.37,-4.564,0,0.0703,83.996,4,0.591
385,Reggaetón Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTfo,"['boy band', 'latin', 'latin pop', 'reggaeton', 'tropical']",0,14,2016-08-26,5,2,2016,0,0.4,0.761,222560,0.838,0.0,4,0.176,-3.073,0,0.0502,93.974,4,0.71
386,You Want It Darker,Leonard Cohen,5zb7npjQqoJ7Kcpq4yD9qn,"['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter']",0,9,2016-10-21,5,3,2016,0,0.613,0.674,284373,0.327,0.199,4,0.0756,-16.986,0,0.0574,108.995,4,0.494
387,Wat's Wrong (feat. Zacari & Kendrick Lamar),Isaiah Rashad,2RPbEp0DyBVlkRvvYKopO7,"['hip hop', 'rap', 'underground hip hop']",0,17,2016-09-02,5,3,2016,0,0.151,0.706,330783,0.688,0.0,1,0.466,-6.357,1,0.269,125.966,4,0.313
388,Sorry,Beyoncé,0lnIJmgcUpEpe4AZACjayW,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0,13,2016-04-23,6,1,2016,0,0.00175,0.775,232560,0.598,4.44e-06,2,0.253,-7.274,1,0.0535,129.988,4,0.356
389,Deep Jungle Walk,Astrix,5gXKDmafOQ8i4lYr62wxTk,"['full on', 'nitzhonot', 'psychedelic trance']",0,9,2016-02-29,1,4,2016,0,0.000656,0.618,555705,0.885,0.502,6,0.37,-8.347,0,0.0453,138.029,4,0.105
390,All The Pretty Girls,KALEO,0QQIhT6PtJ5glyn4HKNKQ6,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",0,10,2016-06-10,5,2,2016,0,0.626,0.466,269893,0.496,6.22e-06,1,0.117,-6.606,1,0.0302,74.747,4,0.352
391,Party Monster,The Weeknd,4F7A0DXBrmUAkp32uenhZt,"['canadian contemporary r&b', 'canadian pop', 'pop']",0,18,2016-11-25,5,3,2016,0,0.188,0.572,249213,0.631,2.31e-05,1,0.259,-8.389,1,0.104,77.519,4,0.219
392,Foreplay,Jalen Santoy,28luqgS4NCuFKP6YSOtia5,"['nc hip hop', 'underground hip hop']",1,1,2016-07-07,4,2,2016,0,0.123,0.73,173785,0.422,0.00292,5,0.105,-6.211,0,0.0678,118.427,4,0.505
393,Famous,Kanye West,19a3JfW8BQwqHWUMbcqSx8,"['chicago rap', 'rap']",0,20,2016-06-10,5,2,2016,0,0.0711,0.465,196040,0.735,0.0,6,0.0975,-3.715,1,0.117,173.935,4,0.409
394,Can't Help Falling in Love,Haley Reinhart,6yIHGmQLJxWAUZ1ZkENemN,['idol'],0,11,2016-04-29,5,1,2016,0,0.947,0.41,173175,0.0485,0.0,0,0.108,-13.918,1,0.038,137.97,4,0.247
395,Pull The Trigger,Russ,2oy5kjcc7itM64xk00Gz2c,"['hawaiian hip hop', 'pop', 'pop rap', 'rap']",1,1,2016-08-23,2,2,2016,0,0.305,0.623,156560,0.651,0.0,4,0.101,-6.988,0,0.345,82.078,4,0.296
396,Daddy Lessons,Beyoncé,71OvX5NNLrmz7rpq1ANTQn,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0,13,2016-04-23,6,1,2016,0,0.273,0.643,287987,0.503,0.0,7,0.349,-8.37,1,0.216,90.886,4,0.598
397,Purple Lamborghini (with Rick Ross),Skrillex,6JyuJFedEvPmdWQW0PkbGJ,"['brostep', 'complextro', 'edm', 'electro', 'electro house']",1,1,2016-07-22,5,2,2016,0,0.0019,0.457,215510,0.899,0.0,10,0.831,-2.591,0,0.132,147.268,4,0.298
398,River Of Tears,Alessia Cara,3ArYVrRb0lDBLzuJJqIXzC,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",0,15,2016-03-11,5,1,2016,0,0.928,0.388,254507,0.372,0.0,6,0.146,-5.72,1,0.0468,89.701,4,0.285
399,'74-'75,The Connells,7y4b4rofQZMftfTmu4FTfy,"['jangle pop', 'pop rock']",0,16,2016-09-09,5,3,2016,0,0.189,0.529,277533,0.586,0.00289,11,0.0649,-9.165,1,0.025,143.982,4,0.422
400,Sidewalks,The Weeknd,4h90qkbnW1Qq6pBhoPvwko,"['canadian contemporary r&b', 'canadian pop', 'pop']",0,18,2016-11-25,5,3,2016,0,0.147,0.542,231360,0.721,0.0,1,0.348,-5.136,0,0.0625,149.831,4,0.623
401,Self Control,Frank Ocean,5GUYJTQap5F3RDQiCOJhrS,"['alternative r&b', 'lgbtq+ hip hop', 'neo soul', 'pop']",0,17,2016-08-20,6,2,2016,0,0.765,0.572,249668,0.209,0.0,8,0.356,-10.413,1,0.0313,80.069,4,0.446
402,pick up the phone,Young Thug,20dP2DaMHIAmwWAbp7peSr,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",0,14,2016-09-16,5,3,2016,0,0.114,0.711,252256,0.739,0.0,7,0.226,-3.804,0,0.129,136.919,4,0.43
403,Feel Invincible,Skillet,0i8JFpqe9cKwnrcvoNgl1L,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock', 'post-grunge']",0,12,2016-08-05,5,2,2016,0,0.00045,0.603,229933,0.886,0.0,5,0.26,-3.777,0,0.0837,126.025,4,0.395
